"","Parent","TSS_mg_per_L","00681_NPOC_mg_per_L_as_C_mean","00602_TN_mg_per_L_as_N_mean","DIC_mean","00000_NH4_mg_per_L_as_NH4_mean","71870_Br_mg_per_L_mean","00915_Ca_mg_per_L_mean","00940_Cl_mg_per_L_mean","00950_F_mg_per_L_mean","01130_Li_mg_per_L_mean","00925_Mg_mg_per_L_mean","71851_NO3_mg_per_L_as_NO3_mean","71856_NO2_mg_per_L_as_NO2_mean","00653_PO4_mg_per_L_as_PO4_mean","00935_K_mg_per_L_mean","00930_Na_mg_per_L_mean","00945_SO4_mg_per_L_as_SO4_mean"
"31","SPS_0041_MEAN",2.69,1.11666666666667,0.0766666666666667,5.36666666666667,-9999,0.17,7.04,3.39,0.0907666666666667,-9999,1.06666666666667,0.0266666666666667,0.025,-9999,0.36,2.64666666666667,1.11
"32","SPS_0042_MEAN",0.47,0.926666666666667,0.0866666666666667,13.28,-9999,0.0348366666666667,12.6666666666667,0.493333333333333,0.107633333333333,-9999,2.44333333333333,0.0866666666666667,0.0266666666666667,-9999,0.463333333333333,2.67666666666667,1.72333333333333
"33","SPS_0043_MEAN",0.3,0.723333333333333,0.07,13.15,-9999,0.09345,9.95,0.94,0.0948666666666667,-9999,2.30333333333333,0.05,0.04,-9999,0.316666666666667,1.92,1.20666666666667
"34","SPS_0044_MEAN",1.21,0.773333333333333,0.05,18.58,-9999,0.23,7.78333333333333,1.16666666666667,0.0785666666666667,-9999,6.58333333333333,0.2,-9999,-9999,0.31,1.34333333333333,0.79
"35","SPS_0045_MEAN",2.61,1.77333333333333,0.116666666666667,20.8633333333333,-9999,0.08219,12.2666666666667,7.36,0.14,-9999,5.43,0.0433333333333333,0.02,-9999,1.12,7.92,1.23666666666667
"36","SPS_0046_MEAN",1.51,1.02666666666667,0.08,6.75666666666667,-9999,0.0970666666666667,7.22333333333333,1.41666666666667,0.102466666666667,-9999,2.62666666666667,0.0833333333333333,0.0266666666666667,-9999,0.396666666666667,1.72,0.636666666666667
"37","SPS_0047_MEAN",7.33,1.33333333333333,0.0966666666666667,10.96,-9999,0.1095,8.06666666666667,0.996666666666667,0.1111,-9999,3.12,0.075,0.02,0.52,1.10333333333333,2.77,0.816666666666667
"38","SPS_0048_MEAN",2.59,1.07666666666667,0.136666666666667,-9999,-9999,0.115,6.3,1.68,0.0489,-9999,2.31,0.153333333333333,0.025,-9999,0.33,1.64333333333333,0.693333333333333
"39","SPS_0049_MEAN",5.56,1.55666666666667,0.213333333333333,8.29,-9999,0.23,7.03333333333333,1.63,0.0902333333333333,-9999,2.07333333333333,0.373333333333333,0.03,0.445,0.663333333333333,1.99,1.17
"40","SPS_0050_MEAN",4.26,3.13666666666667,0.243333333333333,11.42,-9999,0.132133333333333,11.7333333333333,3.28,0.14,-9999,3.51333333333333,0.07,0.0266666666666667,0.51,1.88666666666667,3.29333333333333,1.93333333333333
"41","SPS_0053_MEAN",13.1,2.11333333333333,1.47,27.8533333333333,-9999,2.26666666666667,16.4666666666667,8.52333333333333,0.203333333333333,-9999,9.01,3.68,0.01,0.79,2.50666666666667,12.7333333333333,15.0666666666667
"42","SPS_0054_MEAN",5.5,2.09333333333333,1.62666666666667,21.7666666666667,-9999,2.01333333333333,13.9333333333333,6.95,0.273333333333333,-9999,6.35333333333333,3.24666666666667,0.0133333333333333,0.815,1.89,9.39666666666667,9.54666666666667
"43","SPS_0055_MEAN",6.78,1.68333333333333,0.313333333333333,11.0833333333333,-9999,0.353333333333333,9.38666666666667,3.64333333333333,0.16,-9999,3.51333333333333,0.443333333333333,0.01,0.81,1.06666666666667,4.79333333333333,2.93333333333333
"44","SPS_0056_MEAN",10.9,1.35333333333333,0.103333333333333,6.65666666666667,-9999,0.10867,7.5,2.54666666666667,0.153333333333333,-9999,1.76333333333333,0.0366666666666667,0.01,-9999,0.806666666666667,2.91,2.69666666666667
"45","SPS_0057_MEAN",3.32,2.14,0.166666666666667,22.7766666666667,-9999,0.082975,13.7,1.465,0.21,-9999,8.37,0.055,-9999,0.84,3.27,8.05,2.18
"46","SPS_0058_MEAN",1.88,1.72666666666667,0.116666666666667,15.92,-9999,0.10532,11.1333333333333,0.92,0.156666666666667,-9999,6.27333333333333,0.03,-9999,0.823333333333333,2.19333333333333,5.12666666666667,1.36666666666667
"47","SPS_0059_MEAN",68.1,2.65666666666667,0.19,30.0033333333333,-9999,0.1565,15.5666666666667,2.22333333333333,0.246666666666667,-9999,10.6333333333333,0.055,-9999,0.846666666666667,4.43,9.93,1.10666666666667
