#Columns,20,,,,,,,,,,,,,,,,,,,
#Header_Rows,12,,,,,,,,,,,,,,,,,,,
Field_Name,Sample_Name,Material,Mean_00691_DIC_mg_per_L_as_C,Mean_00000_NH4_mg_per_L_as_NH4,Mean_71870_Br_mg_per_L,Mean_00915_Ca_mg_per_L,Mean_00940_Cl_mg_per_L,Mean_00950_F_mg_per_L,Mean_01130_Li_mg_per_L,Mean_00925_Mg_mg_per_L,Mean_71851_NO3_mg_per_L_as_NO3,Mean_71856_NO2_mg_per_L_as_NO2,Mean_00653_PO4_mg_per_L_as_PO4,Mean_00935_K_mg_per_L,Mean_00930_Na_mg_per_L,Mean_00945_SO4_mg_per_L_as_SO4,Mean_00681_NPOC_mg_per_L_as_C,Mean_00602_TN_mg_per_L_as_N,Mean_00530_TSS_mg_per_L,Mean_Missing_Reps
Unit,N/A,N/A,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,milligrams_per_liter,N/A
Unit_Basis,N/A,N/A,as_Carbon,as_Ammonium,N/A,N/A,N/A,N/A,N/A,N/A,as_Nitrate,as_Nitrite,as_Phosphate,N/A,N/A,as_Sulfate,as_Carbon,as_Nitrogen,as_mg_solids_per_liter_water,N/A
MethodID_Analysis,N/A,N/A,DIC_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,ION_T_AN_001,NPOC_T_AN_005,TN_T_AN_005,TSS_T_AN_000,N/A
MethodID_Inspection,N/A,N/A,DIC_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,ION_T_IN_001,NPOC_T_IN_005,TN_T_IN_005,TSS_T_IN_000,N/A
MethodID_Storage,N/A,N/A,DIC_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,ION_T_ST_001,NPOC_T_ST_005,TN_T_ST_005,TSS_T_ST_000,N/A
MethodID_Preservation,N/A,N/A,DIC_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,ION_T_PRES_001,NPOC_T_PRES_005,TN_T_PRES_005,TSS_T_PRES_000,N/A
MethodID_Preparation,N/A,N/A,DIC_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,ION_T_PREP_001,NPOC_T_PREP_005,TN_T_PREP_005,TSS_T_PREP_000,N/A
MethodID_DataProcessing,N/A,N/A,DIC_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,ION_T_DP_001,NPOC_T_DP_005,TN_T_DP_005,TSS_T_DP_000,N/A
Analysis_DetectionLimit,-9999,-9999,0.19,0.0157,0.00841,0.37,0.243,0.0092,-9999,0.0586,0.0253,0.00518,-9999,0.025,0.00677,0.00986,0.27,0.07,1,N/A
Analysis_Precision,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,-9999,N/A
