SiteID,ER,ER.lower,ER.upper,ERvolumetric
nwis_08052700,-0.776780383,-1.096082587,-0.468559774,-10.82798581
nwis_08052745,-5.075590541,-7.711812471,-2.559573103,-15.42448558
nwis_08057410,-2.726188572,-4.786387437,-0.675704894,-1.508070825
nwis_08062500,-1.798752871,-4.368012419,0.664719277,-0.884045965
nwis_08065350,-5.54921704,-9.323584901,-1.87941952,-3.415649819
nwis_08068000,-3.441438239,-5.354291719,-1.572538781,-6.958663239
nwis_08068500,-3.478125383,-4.862273406,-2.171719317,-9.436453276
nwis_08070200,-1.830448968,-2.632242661,-1.088626879,-5.422913418
nwis_08171290,-3.481905708,-4.694985721,-2.272386731,-6.388363087
nwis_08180700,-6.529926741,-7.899328881,-5.166836495,-10.79664309
nwis_08181500,-4.188885103,-5.718784092,-2.671381143,-5.808962208
nwis_08181800,-2.832640418,-4.239966637,-1.437758304,-3.385958196
nwis_08188060,-3.275982261,-4.778804437,-1.817451868,-3.369542572
nwis_08211200,-3.839005836,-5.319227025,-2.395696348,-2.888190936
nwis_08375300,-3.107302116,-5.046357287,-1.190322441,-4.963946799
nwis_08412500,-9.924853494,-13.52833483,-6.32715638,-7.703882795
nwis_08437710,-30.22857004,-35.82491098,-24.62992062,-16.56329786
nwis_08446500,-25.12780343,-33.76365755,-16.49001264,-10.26001144
nwis_08447000,-10.46280993,-18.65415297,-2.275233077,-2.745446636
nwis_08447300,-10.47111509,-14.47763983,-6.459575116,-4.095893605
nwis_09041400,-1.599896533,-4.100802547,0.994780804,-11.10853055
nwis_09406000,-0.334899766,-2.235310951,1.55672922,-1.194249265
nwis_10129900,-5.463131723,-6.923245574,-4.013893079,-40.86714108
nwis_10133650,-2.828357417,-3.55327703,-2.10386532,-14.09682026
nwis_10133800,-3.230172325,-4.070180516,-2.392262374,-15.08953503
nwis_10133980,-0.552080852,-1.485109629,0.38122785,-4.430019833
nwis_11044000,-5.334341546,-7.839738658,-2.903755095,-10.66920547
nwis_11128500,-9.970740046,-12.3494285,-7.602855271,-30.98028775
nwis_11273400,-10.63455827,-13.10841714,-8.271858698,-7.949713452
nwis_11447650,-4.930204533,-7.75911127,-2.191344933,-1.611036072
nwis_11462500,-2.03476303,-2.508647785,-1.563250314,-4.307328388
nwis_11463980,-2.327071639,-2.951893575,-1.701857476,-5.100234892
nwis_11467000,-1.393452566,-2.153724395,-0.643305102,-2.115340372
nwis_12100490,2.248933322,-0.74007104,5.277956027,1.342174118
nwis_12102075,-4.175375698,-5.34208058,-3.035417332,-8.599990099
nwis_13173600,-16.25348139,-23.73876192,-8.648058721,-2.280763272
nwis_13213000,-12.59830494,-14.64731541,-10.54905163,-6.146679374
nwis_14206950,-1.932866785,-2.868523906,-1.045282048,-8.55946599
nwis_14211010,-2.166986347,-4.001307544,-0.327007786,-1.910195681
nwis_385446094430700,-1.08405584,-1.528451273,-0.641151403,-12.13695657
nwis_385608094380300,-0.873259735,-1.380312068,-0.369487149,-3.974891405
