File_Name,File_Description,Standard,Date_Start,Date_End,Missing_Value_Codes,File_Path
v3_readme_SPS_Spatial_Sensor.pdf,"Data package level readme. Contains data package summary, acknowledgements, and contact information.",N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData
v3_SPS_Sensor_dd.csv,Data dictionary defining column headers and other terms across the dataset.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
v3_SPS_Sensor_flmd.csv,File-level metadata that lists and describes all of the files contained in the dataset.,ESS-DIVE Reporting Format for File-level Metadata (Velliquette et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
SPS_Installation_Methods.csv,Description of methods associated with installation/deployment of sensors. Required by ESS-DIVE Reporting Format for Hydrologic Monitoring (Goldman et al. 2021).,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021),-9999,-9999,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
SPS_Sensor_IGSN_Mapping.csv,This file maps between site ID and registered International Generic Sample Numbers (IGSNs). It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information may be repeated between the field metadata file and this file.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (2021); ESS-DIVE Reporting Format for Sample ID and Metadata (Damerow et al. 2020), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
SPS_Spatial_Sampling_Protocol.pdf,Step-by-step instructions used to complete the sampling in the field.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData
SPS_Spatial_Sensor_Protocol.pdf,Step-by-step instructions used to complete sensor sampling in the field.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData
v2_SPS_Sensor_Field_Metadata.csv,Field metadata associated with the dataset.,ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
v2_SPS_Ultrameter_WaterChem.csv,Water chemistry data (specific conductance; pH; total dissolved solids; temperature) collected using an Ultrameter II 6PFCE with handheld sensor.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData
v2_BarotrollAtm_*.csv,"Time series data for barometric pressure and air temperature collect using In Situ Rugged BaroTROLL sensors for each sampling date and location. The asterisk * refers to the site ID, sampling location, and sampling date separated by underscores.",ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/BarotrollAtm/Data
v2_BarotrollAtm_Summary_Statistics.csv,Summary statistics (e.g. mean; median; minimum; maximum) for BarotrollAtm data.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/BarotrollAtm/Plots_and_Summary_Statistics
v2_BarotrollAtm_TsPlot.pdf,Time series plots for data from BarotrollAtm sensor for each sampling date and location.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/BarotrollAtm/Plots_and_Summary_Statistics
v2_MantaRiver_*.csv,"Time series data (depth; temperature; specific conductance; pH) collected using MantaRiver sensor for each sampling date and location. The asterisk * refers to the site ID, sampling location, and sampling date separated by underscores.",ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/MantaRiver/Data
v2_MantaRiver_TsPlot.pdf,Time series plots for data from MantaRiver sensor for each sampling date and location.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/MantaRiver/Plots_and_Summary_Statistics
v2_Manta_Summary_Statistics.csv,Summary statistics (e.g. mean; median; minimum; maximum) for MantaRiver data.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/MantaRiver/Plots_and_Summary_Statistics
v2_Minidot_*.csv,"Time series data (temperature; dissolved oxygen; and dissolved oxygen saturation) collected using miniDOT sensor for each sampling date and location. The asterisk * refers to the site ID, sampling location, and sampling date separated by underscores.",ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/MinidotManualChamber/Data
v2_Minidot_TsPlot.pdf,Time series plots for data from miniDOT sensor for each sampling date and location.,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/MinidotManualChamber/Plots_and_Summary_Statistics
v3_Minidot_Summary_Statistics.csv,Summary statistics (e.g. mean; median; minimum; maximum; and slope; root mean square error or RMSE;  normalized root mean square error or NRMSE; R squared for dissolved oxygen only) for miniDOT data.,ESS-DIVE Reporting Format for Hydrologic Monitoring Data and Metadata (Goldman et al. 2021); ESS-DIVE Reporting Format for Comma-separated Values (CSV) File Structure (Velliquette et al. 2021), 2021-08-30, 2021-09-16,N/A; -9999,/v3_SFA_SpatialStudy_2021_SensorData/MinidotManualChamber/Plots_and_Summary_Statistics
Eureka_Manta2_Manual_Specifications.pdf,Manual specifications for Manta. Refer to this document for data accuracy and precision. ,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/Sensor_Manual_Specifications
InSitu_Rugged_BaroTROLL_Manual_Specifications.pdf,Manual specifications for BaroTROLL. Refer to this document for data accuracy and precision. ,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/Sensor_Manual_Specifications
PME_miniDOT_Manual_Specifcations.pdf,Manual specifications for miniDOT. Refer to this document for data accuracy and precision. ,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/Sensor_Manual_Specifications
UltrameterII_6PFCE_Manual_Specifications.pdf,Manual specifications for Ultrameter. Refer to this document for data accuracy and precision. ,N/A,-9999,-9999,N/A,/v3_SFA_SpatialStudy_2021_SensorData/Sensor_Manual_Specifications
