Site_ID,Site_Name,Source
AZ_LV,Lower Verde River,StreamPULSE
AZ_OC,Oak Creek,StreamPULSE
AZ_WB,Wet Beaver Creek,StreamPULSE
FL_SF2500,Santa Fe 2500,StreamPULSE
FL_SF2800,Santa Fe 2800,StreamPULSE
FL_WS1500,Worthington Springs 1500,StreamPULSE
IN_SDW,Shatto Ditch Watershed-twostage,StreamPULSE
MD_DRKR,Dead Run,StreamPULSE
NC_NHC,New Hope Creek,StreamPULSE
NC_UNHC,Upper New Hope Creek,StreamPULSE
NH_DCF,Dowst- Cate Town Forest Stream,StreamPULSE
NH_GOF,Merrimack River at Goffs Falls,StreamPULSE
nwis_01184000,"CONNECTICUT RIVER AT THOMPSONVILLE, CT",USGS (Powell Center)
nwis_01388000,Ramapo River at Pompton Lakes NJ,USGS (Powell Center)
nwis_01400500,Raritan River at Manville NJ,USGS (Powell Center)
nwis_01408500,Toms River near Toms River NJ,USGS (Powell Center)
nwis_01463500,Delaware River at Trenton NJ,USGS (Powell Center)
nwis_01480617,"West Branch Brandywine Creek at Modena, PA",USGS (Powell Center)
nwis_01480870,"East Branch Brandywine Creek below Downingtown, PA",USGS (Powell Center)
nwis_01481000,"Brandywine Creek at Chadds Ford, PA",USGS (Powell Center)
nwis_01481500,"BRANDYWINE CREEK AT WILMINGTON, DE",USGS (Powell Center)
nwis_01484525,"MILLSBORO POND OUTLET AT MILLSBORO, DE",USGS (Powell Center)
nwis_01493112,"CHESTERVILLE BRANCH NEAR CRUMPTON, MD",USGS (Powell Center)
nwis_01567000,"Juniata River at Newport, PA",USGS (Powell Center)
nwis_01570500,"Susquehanna River at Harrisburg, PA",USGS (Powell Center)
nwis_01608500,"SOUTH BRANCH POTOMAC RIVER NEAR SPRINGFIELD, WV",USGS (Powell Center)
nwis_01611500,"CACAPON RIVER NEAR GREAT CACAPON, WV",USGS (Powell Center)
nwis_01632900,"SMITH CREEK NEAR NEW MARKET, VA",USGS (Powell Center)
nwis_01645704,"DIFFICULT RUN ABOVE FOX LAKE NEAR FAIRFAX, VA",USGS (Powell Center)
nwis_01645762,"S F LITTLE DIFFICULT RUN ABOVE MOUTH NR VIENNA, VA",USGS (Powell Center)
nwis_01646000,"DIFFICULT RUN NEAR GREAT FALLS, VA",USGS (Powell Center)
nwis_01646305,"DEAD RUN AT WHANN AVENUE NEAR MCLEAN, VA",USGS (Powell Center)
nwis_01646500,"POTOMAC RIVER NEAR WASH, DC LITTLE FALLS PUMP STA",USGS (Powell Center)
nwis_01648010,"ROCK CREEK AT JOYCE RD WASHINGTON, DC",USGS (Powell Center)
nwis_01649190,"PAINT BRANCH NEAR COLLEGE PARK, MD",USGS (Powell Center)
nwis_01649500,"NORTHEAST BRANCH ANACOSTIA RIVER AT RIVERDALE, MD",USGS (Powell Center)
nwis_01650800,"SLIGO CREEK NEAR TAKOMA PARK, MD",USGS (Powell Center)
nwis_0165389205,"ACCOTINK CREEK NEAR RANGER ROAD AT FAIRFAX, VA",USGS (Powell Center)
nwis_01654000,"ACCOTINK CREEK NEAR ANNANDALE, VA",USGS (Powell Center)
nwis_01654500,"LONG BRANCH NEAR ANNANDALE, VA",USGS (Powell Center)
nwis_01658000,"MATTAWOMAN CREEK NEAR POMONKEY, MD",USGS (Powell Center)
nwis_0166818623,"MILL CREEK ABV PEUMANSEND CREEK NR PORT ROYAL, VA",USGS (Powell Center)
nwis_01673000,"PAMUNKEY RIVER NEAR HANOVER, VA",USGS (Powell Center)
nwis_02035000,"JAMES RIVER AT CARTERSVILLE, VA",USGS (Powell Center)
nwis_02101726,"ROCKY R AT US 64 NEAR SILER CITY, NC",USGS (Powell Center)
nwis_02135000,"LITTLE PEE DEE R. AT GALIVANTS FERRY, SC",USGS (Powell Center)
nwis_02148315,"WATEREE R. BL EASTOVER, SC",USGS (Powell Center)
nwis_02156500,"BROAD RIVER NEAR CARLISLE, SC",USGS (Powell Center)
