River,SiteID,ERwc,Source
"East Fork, White River",WHT,-2.06,Reisinger2021
Manistee River,MAN,-0.50,Reisinger2021
Muskegon River,MUSK,-0.67,Reisinger2021
STJ,STJ,-0.52,Reisinger2021
Tippecanoe River,TIP,-0.57,Reisinger2021
Buffalo Fork,BUF,-4.63,Reisinger2021
Snake River,SNK,-0.60,Reisinger2021
"Green River, WY",GRS,-0.10,Reisinger2021
Henry’s Fork,HF,-0.26,Reisinger2021
North Platte River,PLA,-0.10,Reisinger2021
Bear River,BEAR,-0.76,Reisinger2021
Green River at Ouray,OUR,-1.19,Reisinger2021
Green River at Gray Canyon,GRG,-0.73,Reisinger2021
Amazon River,AMhigh,-4.20,Ward2019
Amazon River,AMmed,-2.00,Ward2019
Amazon River,AMSta,-2.00,Ward2019
Barro Branco,BB,-0.02,Ellis2012
Acre River,AC,-0.96,Ellis2012
Amazon River Basin,AMsmall,-0.22,Ellis2012
Amazon River Basin,AMmed,-0.73,Ellis2012
Amazon River Basin,AMbig,-0.11,Ellis2012
Amazon River,AM2012,-0.32,Quay2012
Amazon River,AM1995,-0.27,Devol1995
Amazon River,AMHW,-0.95,Gagne-Maynard2017
Amazon River,AMLW,-1.52,Gagne-Maynard2017
