"Site_ID","ERtot_Areal","mean_depth","ERtot_Volumetric"
"nwis_01184000",-13.688615960641,5.102918017996,-2.68250752067083
"nwis_01388000",-2.8145016075456,0.713696292887199,-3.94355643373145
"nwis_01400500",-4.16529741274783,1.09177841173733,-3.81514908883357
"nwis_01408500",-3.92639698312197,0.740807739617258,-5.30015653609473
"nwis_01463500",-6.59083747272137,3.2865260184174,-2.00541162181188
"nwis_01480617",-2.94196729086116,0.49145230285657,-5.98627226642535
"nwis_01480870",-4.17670720455454,0.61509667401182,-6.79032643326287
"nwis_01481000",-3.20165321894119,0.939884185125119,-3.4064337602563
"nwis_01481500",-2.64575490107656,0.994544234170721,-2.66026870416947
"nwis_01484525",-4.22443267085978,0.554859818416706,-7.61351341481928
"nwis_01493112",-3.10928085702873,0.256323759233783,-12.1302873612776
"nwis_01567000",-8.5873083626533,1.98186249634893,-4.3329486170071
"nwis_01570500",-9.91975574102327,4.8899791124061,-2.02858857123876
"nwis_01608500",-3.18241229943174,1.51340397986455,-2.10281745110553
"nwis_01611500",-3.8151134051198,1.12250295331668,-3.39875578398008
"nwis_01632900",-2.80776512547525,0.581035476988139,-4.83234714002251
"nwis_01645704",-1.85879887326868,0.214144650518651,-8.68010883655853
"nwis_01645762",-1.27190994431788,0.145444199258053,-8.74500290012393
"nwis_01646000",-2.29733021406129,0.46776959518836,-4.91124313698972
"nwis_01646305",-1.63817533136593,0.125763908229542,-13.0257985333594
"nwis_01646500",-5.92593745482967,3.77893325998213,-1.56815086352112
"nwis_01648010",-1.99565700014928,0.525135573236439,-3.80027006711798
"nwis_01649190",-1.75722873214489,0.260880040899899,-6.73577298624829
"nwis_01649500",-3.48603953409376,0.486042637069445,-7.17229162262914
"nwis_01650800",-1.57803940375256,0.208340652385257,-7.57432304106686
"nwis_0165389205",-1.35594736801566,0.155950640566698,-8.69472137522733
"nwis_01654000",-1.94536673204501,0.309627023284385,-6.28293587365026
"nwis_01654500",-2.04963981611801,0.158079719242719,-12.965861945712
"nwis_01658000",-3.85542383462729,0.495583398107841,-7.77956616252172
"nwis_0166818623",-1.96050552021415,0.236039265996143,-8.30584484297702
"nwis_01673000",-2.43446514478128,1.27622885730594,-1.90754591611439
"nwis_02035000",-6.07338673600243,3.04057859107736,-1.99744441858037
"nwis_02101726",-7.70646438761701,0.374453480764637,-20.5805655000999
"nwis_02135000",-7.55660913614426,2.47487637615624,-3.0533279193042
"nwis_02148315",-7.14241051872356,2.43069229252656,-2.93842644775882
"nwis_02156500",-7.97860537363287,2.18309867954243,-3.65471586254872
"nwis_02160105",-7.39483720167567,1.22678020763672,-6.02784195216285
"nwis_02160700",-4.81267360637296,1.09551325883281,-4.39307654888679
"nwis_02168504",-11.2110212680554,1.86673673617845,-6.00567881414625
"nwis_02169000",-4.84364998024595,1.95869958688243,-2.47289069374613
"nwis_02203655",-3.36155669576552,0.325095653047723,-10.3402080718442
"nwis_02203700",-3.17482654697112,0.209346327041824,-15.1654275087274
"nwis_02203863",-2.55569646534373,0.215999655008691,-11.8319469780676
"nwis_02203900",-6.03348977030727,0.622863111239195,-9.68670268223712
"nwis_02203950",-2.21406046969564,0.237974452099215,-9.30377378817354
"nwis_02203960",-3.70615860517062,0.400541856493292,-9.25286220425927
