"Site_ID","Mean_ERwc","Mean_Temp"
"W20",-0.997333333333333,13.298
"W10",-0.819666666666667,13.518
"U20",-0.7015,13.087
"S13R",0.288,11.264
"S14",-0.2133,14.715
"S15",0.0987666666666667,9.22766666666667
"S17R",-0.0566333333333333,13.9256666666667
"S18R",-0.113233333333333,12.327
"S19",-0.0252666666666667,14.5173333333333
"S19E",-0.110533333333333,18.61
"S20R",-0.353,17.6716666666667
"S21R",0.133,13.7646666666667
"S23",-0.294666666666667,18.1233333333333
"S24R",-0.630666666666667,13.9863333333333
"S25",-0.199666666666667,16.672
"S26R",0.1,13.2766666666667
"S27R",0.153066666666667,8.278
"S28R",-0.415333333333333,11.2483333333333
"S28RE",-0.778,16.515
"S29R",0.0603,17.263
"S30R",-2.36666666666667,17.8466666666667
"S31",-0.657333333333333,14.5336666666667
"S32",-0.0693,14.706
"S36",-7.38333333333333,17.171
"S37",-0.09622,15.406
"S38",1.84,13.5506666666667
"S39",-0.189133333333333,13.4826666666667
"S49R",-0.571333333333333,14.403
"S50",0.357333333333333,17.3813333333333
"S51",-0.342333333333333,13.0683333333333
"S55",-1.10666666666667,16.4933333333333
"S56",-0.676,12.099
"S63",-0.71,12.0226666666667
"S67",-2.71666666666667,18.058
"S68",-1.97666666666667,19.6816666666667
"S71",-0.480666666666667,10.4953333333333
"S72",-0.746666666666667,14.0863333333333
"S73",-0.812,16.6823333333333
"S75",-0.733,15.9023333333333
"S77",-2.02633333333333,14.5966666666667
"S79",-0.579333333333333,15.984
"S82",-0.846,15.293
"S83",0.558,12.974
"T02",-2.19333333333333,20.2716666666667
"T03",-1.20666666666667,17
"T05",-1.92,18.023
"T07",-1.82666666666667,20.0643333333333
