# Site IDs have International Geo Sample Numbers (IGSNs) registered with System for Earth Sample Registration (SESAR; https://www.geosamples.org/about/services#igsnregistration).  This file maps between site IDs (in the column labeled Sample_Name) and IGSNs. It conforms to the ESS-DIVE Sample ID and Metadata Reporting Format (IGSN-ESS) v1.1.0 (Damerow et al. 2020). Some information is repeated between the field metadata file and this file.,,,,,,,,,
Sample_Name,IGSN,Other_Name,Latitude,Longitude,Primary_Physiographic_Feature,Physiographic_Feature_Name,State_or_Province,Country,Field_Program_Cruise
W20,IEPRS007S,RC3_01,46.832844,-120.710935,stream,Wenas Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
W10,IEPRS007T,RC3_02,46.867453,-120.77439,stream,Wenas Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
U20,IEPRS007U,RC3_03,46.898642,-120.642233,stream,Umtanum Creek ,Washington,United States,US Department of Energy River Corridor Science Focus Area
S13R,IEPRS007V,N/A,47.420551,-121.086972,stream,Cle Elum River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S14,IEPRS007W,N/A,47.41986,-121.087854,stream,Waptus River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S15,IEPRS007X,N/A,47.363498,-121.106919,stream,Thorp Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S17R,IEPRS007Y,N/A,47.394429,-121.10174,stream,Cooper River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S18R,IEPRS007Z,N/A,47.39603,-121.096933,stream,Cle Elum River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S19,IEPRS0080,N/A,47.258225,-120.904118,stream,West Fork Teanaway River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S19E,IEPRS0081,N/A,47.255067,-120.878922,stream,North Fork Teanaway River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S20R,IEPRS0082,N/A,47.19028,-121.01556,stream,Cle Elum River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S21R,IEPRS0083,N/A,47.185797,-121.043826,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S23,IEPRS0084,N/A,47.185944,-120.918817,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S24R,IEPRS0085,N/A,47.354254,-121.108406,stream,Cle Elum River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S25,IEPRS0086,N/A,47.262537,-120.897057,stream,Middle Fork Teanaway River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S26R,IEPRS0087,N/A,47.168488,-120.834427,stream,Teanaway River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S27R,IEPRS0088,N/A,47.260155,-121.176851,stream,Silver Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S28R,IEPRS0089,N/A,47.124215,-120.73804,stream,Swauk Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S28RE,IEPRS008A,N/A,47.123516,-120.73817,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S29R,IEPRS008B,N/A,47.082159,-120.733369,stream,Taneum Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S30R,IEPRS008C,N/A,46.09521496,-120.5482254,stream,Satus Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S31,IEPRS008D,N/A,46.205978,-120.480969,stream,Logy Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S32,IEPRS008E,N/A,46.23559571,-120.4191547,stream,Satus Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S36,IEPRS008F,N/A,46.314573,-120.199171,stream,Toppenish Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S37,IEPRS008G,N/A,46.028244,-120.611858,stream,Satus Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S38,IEPRS008H,N/A,46.029003,-120.636526,stream,Unnamed Tributary,Washington,United States,US Department of Energy River Corridor Science Focus Area
S39,IEPRS008I,N/A,46.016704,-120.649701,stream,Satus Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
S49R,IEPRS008J,N/A,46.724267,-120.813351,stream,Tieton River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S50,IEPRS008K,N/A,46.631447,-120.521815,stream,Yakima River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S51,IEPRS008L,N/A,46.729878,-120.803616,stream,Tieton River,Washington,United States,US Department of Energy River Corridor Science Focus Area
S55,IEPRS008M,N/A,46.663547,-120.805047,stream,South Fork Cowiche Creek,Washington,United States,US Department of Energy River Corridor Science Focus Area
